技能对照参考表

暂定分位：
0~9	状态技能
10~299		称号技能（也有一部分独有技能）
300~399		成就
400~599		卡片及独有技能A组
600~699		BUFF实现
700~999		卡片及独有技能B组
1000~			教程 剧情 测试技能

技能编号	所属包			技能名		说明
52		内定称号扩展包		臂力		灌篮高手技能
53		内定称号扩展包		天才		宛如疾风技能（只在PVE模式有用到）
54		内定称号扩展包		圣盾		宝石骑士技能
55		内定称号扩展包		家教		富家子弟技能
56		内定称号扩展包		保镖		富家子弟技能
57		内定称号扩展包		无			保镖技能的配套技能，用于佣兵收工资
58		内定称号扩展包		复活		亡灵骑士基本特性（复活）
59		内定称号扩展包		新生		亡灵骑士技能（假技能，实际效果发生还是在58里面）
60		内定称号扩展包		恐惧		亡灵骑士技能
61		内定称号扩展包		黑暗		亡灵骑士技能
62		内定称号扩展包		腐蚀		亡灵骑士技能
63		内定称号扩展包		噩梦		亡灵骑士技能
64		内定称号扩展包		索魂		亡灵骑士技能
65		内定称号扩展包		灵力		超能力者技能
66		内定称号扩展包		人杰		富家子弟技能
67		内定称号扩展包		理财		富家子弟技能
68		内定称号扩展包		网购		富家子弟技能
69		内定称号扩展包		富家		富家子弟基本特性（初始金钱500，商店75折）
70		内定称号扩展包		天赋		天赋异秉基本特性（附加熟练、技能点额外收益）
71		内定称号扩展包		解构		天赋异秉技能
72		内定称号扩展包		学习		天赋异秉技能
73		内定称号扩展包		必杀		超能力者技能
74		内定称号扩展包		心火		超能力者技能
75		内定称号扩展包		剑心		见敌必斩技能（废弃）
76		内定称号扩展包		充能		超能力者技能
77		内定称号扩展包		觉醒		天赋异秉技能
78		内定称号扩展包		神技		高速成长技能点换熟练度
79		内定称号扩展包		肌肉		肌肉兄贵技能（假技能，用于称号特性显示）
80		内定称号扩展包		脑力		最强大脑特性（记忆2倍）
81		内定称号扩展包		换装		原换装迷宫的特性
82		内定称号扩展包		解牛		见敌必斩技能
83		内定称号扩展包		尊严		铁拳无敌技能
84		内定称号扩展包		    		避难所生命探测器开启效果

181		内定称号扩展包		音感		预定给歌姬的称号技能
182		内定称号扩展包		共鸣		歌系统基础技能

201		内定称号扩展包		静息		狙击鹰眼技能
202		内定称号扩展包		破甲		狙击鹰眼技能
203		内定称号扩展包		瞄准		狙击鹰眼技能
204		内定称号扩展包		掠夺		狙击鹰眼技能
205		内定称号扩展包		咆哮		狙击鹰眼技能
206		内定称号扩展包		爆头		狙击鹰眼技能
207		内定称号扩展包		直感		见敌必斩技能
208		内定称号扩展包		强袭		见敌必斩技能
209		内定称号扩展包		断钢		见敌必斩技能
210		内定称号扩展包		歼灭		见敌必斩技能
211		内定称号扩展包		谨慎		拆弹专家技能
212		内定称号扩展包		冷静		拆弹专家技能
213		内定称号扩展包		反思		拆弹专家技能
214		内定称号扩展包		专注		拆弹专家技能
215		内定称号扩展包		高能		拆弹专家技能
216		内定称号扩展包		双响		拆弹专家技能
217		内定称号扩展包		特攻		黑衣组织技能
218		内定称号扩展包		渗透		黑衣组织技能
219		内定称号扩展包		淬毒		黑衣组织特性
220		内定称号扩展包		毒师		黑衣组织特性
221		内定称号扩展包		衰弱		黑衣组织技能
222		内定称号扩展包		催化		黑衣组织技能
223		内定称号扩展包		暗杀		黑衣组织技能
224		内定称号扩展包		强毒		黑衣组织特性
225		内定称号扩展包		高速		高速成长特性
226		内定称号扩展包		神智		高速成长技能
227		内定称号扩展包		神权		高速成长技能（未使用）
228		内定称号扩展包		神击		高速成长技能
229		内定称号扩展包		神功		高速成长技能
230		内定称号扩展包		带电		边缘行者（原锡安成员）特性
231		内定称号扩展包		强电		边缘行者（原锡安成员）特性
232		内定称号扩展包		力场		边缘行者（原锡安成员）技能
233		内定称号扩展包		网瘾		边缘行者（原锡安成员）特性
234		内定称号扩展包		破解		边缘行者（原锡安成员）技能
235		内定称号扩展包		探测		边缘行者（原锡安成员）技能
236		内定称号扩展包		科学		边缘行者（原锡安成员）技能
237		内定称号扩展包		EMP 		边缘行者（原锡安成员）技能
238		内定称号扩展包		过载		边缘行者（原锡安成员）技能
239		内定称号扩展包		对偶		最强大脑技能
240		内定称号扩展包		洞察		最强大脑技能
241		内定称号扩展包		推广		最强大脑技能
242		内定称号扩展包		灵感		最强大脑技能
243		内定称号扩展包		证伪		最强大脑技能
244		内定称号扩展包		归约		最强大脑技能
245		内定称号扩展包		钦定		独立技能（董先森）
246		内定称号扩展包		隐身		独立技能（一次性状态技能）
247		内定称号扩展包		挖坑		独立技能（星莲船）
248		内定称号扩展包		天助		宛如疾风技能
249		内定称号扩展包		雷击		独立技能
250		内定称号扩展包		预感		独立技能
251		内定称号扩展包		天佑		宛如疾风技能
252		内定称号扩展包		天眼		宛如疾风技能
253		内定称号扩展包		天威		宛如疾风技能
254		内定称号扩展包		天义		宛如疾风技能
255		内定称号扩展包		疾风		宛如疾风特性
256		内定称号扩展包		拳术		铁拳无敌特性
257		内定称号扩展包		仁义		铁拳无敌技能
258		内定称号扩展包		快拳		铁拳无敌技能
259		内定称号扩展包		乱击		铁拳无敌技能
260		内定称号扩展包		熟练		铁拳无敌技能
261		内定称号扩展包		决战		铁拳无敌技能
262		内定称号扩展包		蓄力		铁拳无敌技能
263		内定称号扩展包		格斗		铁拳无敌技能
264		内定称号扩展包		连打		铁拳无敌技能（未使用）
265		内定称号扩展包		穿杨		狙击鹰眼技能
266		内定称号扩展包		枪魂		狙击鹰眼技能（已废弃）
267		内定称号扩展包		代偿		根性兄贵技能
268		内定称号扩展包		不屈		根性兄贵技能
269		内定称号扩展包		浴血		根性兄贵技能
270		内定称号扩展包		神影		高速成长技能
271		内定称号扩展包		神裁		高速成长技能
272		内定称号扩展包		吸光		宝石骑士技能
273		内定称号扩展包		对撞		灌篮高手技能
274		内定称号扩展包		截拳		铁拳无敌技能
275		内定称号扩展包		全知		独立技能：可以选择全部称号
276		内定称号扩展包		瞎选		独立技能：开局随机选择一个称号

=======================300~399：成就技能==========================

=======================400~599：独立技能 A组（主要为卡片技能）==========================
400		卡片扩展包				重击/烈击		独立技能
401		卡片扩展包				硬化/钢化		独立技能
402		卡片扩展包				直死		独立技能
403		卡片扩展包				追击		独立技能
404		卡片扩展包				底力		独立技能
405		卡片扩展包				疾走		独立技能(芙蓉)
406		卡片扩展包				解离		独立技能(蓝凝)
407		卡片扩展包				红石		独立技能(丁香)
408		卡片扩展包				菁英		独立技能(教官)
409		卡片扩展包				不动		独立技能(飞龙)
410		卡片扩展包				猛风		独立技能(翼虎)
411		卡片扩展包				菁英		独立技能(电返)
412		卡片扩展包				反演		独立技能(NPC lemon)
413		卡片扩展包				键人		独立技能(K男)
414		卡片扩展包				鹰眼		独立技能(某神)
415		卡片扩展包				影像		独立技能(黑曲)
416		卡片扩展包				团结		独立技能(时空挑战者/电波挑战者)
417		卡片扩展包				姨妈		独立技能(CD延长)
418		卡片扩展包				赌博		独立技能(切糕掉落增加)
419		卡片扩展包				修仙		独立技能(海外党)
420		卡片扩展包				结晶		独立技能(方块)
421		卡片扩展包				暴食		独立技能(补给效果提高)
422		卡片扩展包				枪斗		独立技能(枪托杀人)
423		卡片扩展包				魔鬼		独立技能(clef)
424		除错模式gtype1		除错		特殊模式1技能
425		除错模式gtype1		重载		特殊模式1技能
426		除错模式gtype1		整备		特殊模式1技能
427		除错模式gtype1		续命		特殊模式1技能
428		除错模式gtype1		阴谋		特殊模式1技能
429		除错模式gtype1		谨慎		特殊模式1技能
430		卡片扩展包				搬运		独立技能
431		卡片扩展包				n/a			独立技能(Rimefire)
432		卡片扩展包				凝心		NPC技能（蓝凝，不受反噬伤害）
433		卡片扩展包				白板		独立技能（蛋服）
434		卡片扩展包				核弹		独立技能(DK^BurNIng)
435		卡片扩展包				保安		独立技能(创世神2009)
436		卡片扩展包				薪水		独立技能(保安收费)
437		卡片扩展包				EM			独立技能(吃人)
438		卡片扩展包				挽鸽		独立技能(那位先生)
439		卡片扩展包				ban			独立技能(longdd)
440		卡片扩展包				父爱		独立技能(末日)
441		卡片扩展包				嗑药		独立技能(钱四爷)
442		卡片扩展包				E术			独立技能(EternaLEnVy)
443		卡片扩展包				决斗		独立技能(军团指挥官)
444		卡片扩展包				怒吼		独立技能(ROTK)
445		卡片扩展包				转化		独立技能(变体精灵)
446		卡片扩展包				死线		独立技能(亚巴顿)
447		卡片扩展包				热寂		独立技能(远古冰魄)
448		卡片扩展包				创世		独立技能(冥界亚龙)
449		卡片扩展包				一指		独立技能(莱恩)
450		卡片扩展包				淘汰		独立技能(斧王)
451		卡片扩展包				黑球		独立技能(祈求者)
452		卡片扩展包				转移		独立技能(帕克)
453		卡片扩展包				狂击		独立技能(熊战士)
454		卡片扩展包				团购		独立技能(团购)
455		卡片扩展包				无敌		独立技能(cty)
456		卡片扩展包				突击		独立技能(6d)
457		卡片扩展包				文盲		独立技能(陷阱挑战者)
458		卡片扩展包				贝爷		独立技能(贝爷卡重制版)
459		卡片扩展包				菁英		NPC技能（红暮&蓝凝，敌人无法获得经验）
460		卡片扩展包				n/a			NPC技能（特殊，仅仅用来标记这个NPC有特殊技能。这是最白板的技能，可以当技能模板来用。）
461		卡片扩展包				免疫/镇定		NPC技能（敌人无法对你施加任何时效性负面状态，等级为1的话还会自动解除异常状态）
462		卡片扩展包				抗性		NPC技能（敌人战斗技最终伤害-35%）
463		卡片扩展包				藤甲		卡片技能（藤甲兵）
464		卡片扩展包				抖M			卡片技能（抖M挑战者）
465		卡片扩展包				圣火		卡片技能（FFF）
466		卡片扩展包				死神		卡片技能（瘟疫法师）
467		卡片扩展包				巨力		卡片技能（裂魂人）
468		卡片扩展包				崎岖		卡片技能（母山岭巨人）
469		卡片扩展包				自爆		卡片技能（炸弹人）
470		卡片扩展包				狙击		卡片技能（矮人狙击手）
471		卡片扩展包				气功		卡片技能（气功大师）
472		卡片扩展包				窃取		卡片技能（大魔导师）
473		卡片扩展包				神蚀		卡片技能（殁境神蚀者）
474		卡片扩展包				厌食		卡片技能（减肥挑战者）
475		卡片扩展包				复活		特殊模式2技能
476		卡片扩展包				尊严		特殊模式3技能
477		卡片扩展包				忘我		卡片技能（唱戏）
478		卡片扩展包				悲运		卡片技能（悲运）
479		卡片扩展包				口胡		卡片技能（数体教）
480		卡片扩展包				泡沫		卡片技能（资本主义者）
481		卡片扩展包				■■		卡片技能（洩矢诹访子）
482		卡片扩展包				梦想天生	卡片技能（灵梦）
483		卡片扩展包				氪金		卡片技能（氪金战士）
484		卡片扩展包				被削		虚子卡选称号技能
485		卡片扩展包				嫉恶		卡片技能（SAS）
486		卡片扩展包				无垠		卡片技能（Howling）
487		卡片扩展包				后手		卡片技能（星海）
488		卡片扩展包				后路		NPC技能（星海）
489		卡片扩展包				神眷		卡片技能（Annabell）
490		卡片扩展包				空想		卡片技能（Sophia）
491		卡片扩展包				空构		NPC技能（Sophia）
492		卡片扩展包				冲刺		NPC技能（飞行员 狂飙）
493		卡片扩展包				通感		卡片技能（常磐之心）
494 	除错模式gtype1		摸鱼		特殊模式1技能（废弃，现在用于卡片妖精女仆）
495 	除错模式gtype1		额度		特殊模式1技能（废弃，现在用于卡片撸贷人）
496 	卡片扩展包				手熟		卡片技能（霜火协奏曲）
497		卡片扩展包				变换		卡片技能（算法大师 薇娜）
498		歌系统						朋友		歌曲《ぼくのフレンド》特殊效果
499		歌系统						决然		歌曲《ぼくのフレンド》特殊效果（一次性状态技能）
500		卡片扩展包				时停		卡片技能（沙罗曼蛇的战乙女）
501		卡片扩展包				拯救/终末		卡片技能（沙罗曼蛇的战乙女/【MORE ONE NIGHT】效果）
502		卡片扩展包				唯快		卡片技能（无我）
503		卡片扩展包				幻禁		卡片技能（林无月）
504		卡片扩展包				pop子		卡片技能（pop子）
505		卡片扩展包				一决		卡片技能（世界制御猫）
506		卡片扩展包				接力		独立技能（愚人节活动专用）
507		卡片扩展包				断罪		独立技能（一一五）
508		卡片扩展包				慢热		独立技能（一一五）
509		卡片扩展包				奇袭		独立技能（一一五）
510		卡片扩展包				胜天		独立技能（一一五）
511		卡片扩展包				嘴强		卡片技能（云玩家）
512		卡片扩展包				幻象		荣耀模式全息本体召唤技能
513		卡片扩展包				心墙		独立技能（一一五 i）
514		卡片扩展包				妄击		独立技能（一一五 i）
515		卡片扩展包				杀意		卡片技能（地下挑战者）
516		卡片扩展包				分割		卡片技能（飞雪大大）
517		卡片扩展包				鱼弹		卡片技能（冰冻青蛙）
518		卡片扩展包				回归		卡片技能（东方地雷殿）
519		卡片扩展包				幽灵		卡片技能（幽灵 帕比斯麦尔）
520		卡片扩展包				纯洁		卡片技能（幽灵 帕比斯麦尔）

521		卡片扩展包				草精		幻界的叫唤用一阶段技能
522		卡片扩展包				水精		幻界的叫唤用一阶段技能
523		卡片扩展包				日精		幻界的叫唤用一阶段技能
524		卡片扩展包				月精		幻界的叫唤用一阶段技能
525		卡片扩展包				火龙		幻界的叫唤用一阶段技能
526		卡片扩展包				水龙		幻界的叫唤用一阶段技能

527		卡片扩展包				攻击		卡片技能（源神）
528		卡片扩展包				骇客		卡片技能（ycNaN）
529		卡片扩展包				幻林		卡片技能（阿林百人众、网络爬虫、拷贝猫）
530		卡片扩展包				降维		卡片技能（低维生物）
531		卡片扩展包				癫佬		卡片技能（武侠强者 李天明）
532		卡片扩展包				无毁		卡片技能（坂田铜时）
533		卡片扩展包				实名		卡片技能（萤火抑智）
534		卡片扩展包				空子		卡片技能（非常非常二）
535		卡片扩展包				挖矿		卡片技能（女骑士）
536		卡片扩展包				僵尸		卡片技能（数字生命）
537		卡片扩展包				荒原		卡片技能（编乎用户）
538		卡片扩展包				仪式		卡片技能（邪教徒）
539		卡片扩展包				不死		卡片技能（狱火鸡）

541		卡片扩展包				寨决		卡片技能（東埔寨裁判）

551		卡片扩展包				放生		卡片技能（功德仙人）
552		卡片扩展包				伐木		卡片技能（伐木挑战者）
553		卡片扩展包				V50			卡片技能（炸鸡勇者）
554		卡片扩展包				盲人		卡片技能（蟑螂）
555		卡片扩展包				迷彩		卡片技能（河童）
556		卡片扩展包				追猎		卡片技能（黄泉重女）
557		卡片扩展包				马脚		卡片技能（彩虹小马）
558		卡片扩展包				抗争		卡片技能（挑战挑战者者）
559		卡片扩展包				姿势		临时合成用技能
560		卡片扩展包				鬼叫		卡片技能（鬼叫王）
561		卡片扩展包				残疾		卡片技能（暂未使用）
562		卡片扩展包				过劳		卡片技能（加班挑战者）
563		卡片扩展包				专长		卡片技能（冻鳗婆罗门，可触发559号技能姿势）
564		卡片扩展包				最优		卡片技能（初动）
565		卡片扩展包				神抽		卡片技能（随机数眷顾者）
566		卡片扩展包				门神		卡片技能（SGGK）
567		卡片扩展包				毒雾		卡片技能（毒人偶）
568		卡片扩展包				锐评		卡片技能（暂未使用）
569		卡片扩展包				解放		卡片技能（未确认生命态）
570		卡片扩展包				入道		卡片技能（地震雷火事老爹）
571		卡片扩展包				空壳		卡片技能（超次元巨大机器人）
572		卡片扩展包				丰收		卡片技能（稻田姬）

574		卡片扩展包				好味		卡片技能（饿灵）
575		卡片扩展包				难题		卡片技能（尼特姬）
576		卡片扩展包				寻宝		难题的衍生技能
577		卡片扩展包				毒奶		卡片技能（稀神老仙）
578		卡片扩展包				祥瑞		毒奶的特殊效果
579		卡片扩展包				睡拳		卡片技能（门番）
580		卡片扩展包				怪伞		卡片技能（异色眼护伞）
581		卡片扩展包				永灵		卡片技能（暂未使用）
582		卡片扩展包				招福		卡片技能（开门大吉猫咪）
583		卡片扩展包				半人		卡片技能（麻薯）
584		卡片扩展包				馒头		卡片技能（油库里）
585		卡片扩展包				回声		卡片技能（复读机）

588		卡片扩展包				天变		卡片技能（叛逆天人）
589		卡片扩展包				地异		卡片技能（叛逆天人）
590		卡片扩展包				囤积		卡片技能（仓鼠挑战者）
591		卡片扩展包				熔毁		卡片技能（太阳之子）
592		卡片扩展包				嫉妒		卡片技能（绿眼葛笼）
593		卡片扩展包				秘药		卡片技能（八意制药）
594		卡片扩展包				无双		秘药的衍生技能
595		卡片扩展包				劝学		卡片技能（上老师）
596		卡片扩展包				念写		卡片技能（自媒体）
597		卡片扩展包				猫车		卡片技能（地狱猫）
598		卡片扩展包				天王		卡片技能（勇仪王）
599		卡片扩展包				迷梦		卡片技能（蚀梦貘）

XXX		卡片扩展包				破墙		卡片技能（乐师）
XXX		卡片扩展包				破墙		NPC技能（乐师）
XXX		卡片扩展包				爆放		卡片技能（FOREST）
XXX		卡片扩展包				爆放		NPC技能（FOREST）
XXX		卡片扩展包				遁逸		独立NPC技能

=======================600~699：DEBUFF类技能==========================
600		内定称号扩展包		衰弱		黑衣组织DEBUFF
601		内定称号扩展包		EMP 		边缘行者（原锡安成员）DEBUFF
602		内定称号扩展包		晕眩		街头霸王猛击DEBUFF
603		内定称号扩展包		静止		时停DEBUFF
604		内定称号扩展包		灾厄		幽灵DEBUFF

=======================700~999：独立技能 B组==========================
701		卡片扩展包				闻持		卡片技能（阿Q）
702		卡片扩展包				宵暗		卡片技能（十进制）
703		卡片扩展包				静寂		卡片技能（月光蝶）
704		卡片扩展包				凶兽		卡片技能（大鹌鹑）
705		卡片扩展包				制御		制御棒的衍生技能
706		卡片扩展包				裁决		卡片技能（暂未使用）
707		卡片扩展包				甩锅		卡片技能（重构码语者）
708		卡片扩展包				漏洞		卡片技能（Trojan）
709		卡片扩展包				调换		卡片技能（魔术狸猫）
710		卡片扩展包				解限		独立技能（解除熟练道具衰减）

=======================1000以上：系统/测试技能==========================
1000	教程房instance7		补给品	教程房用于储存进度
1001	荣耀房instance8		空降		荣耀、极速模式后进房玩家获得的熟练度补偿，在instance文件夹下
1002	急速房instance9		无垢		急速模式入场60s无敌技能，在instance文件夹下
1003	内定称号扩展包		无			用于记录比如总获得金钱数之类的数据，在club文件夹
1004  2018圣诞gtype5		难度		活动技能
1005  2018圣诞gtype5		修复		活动技能
1006	内定称号扩展包		无			临时视野扩展，在club文件夹

1010	测试技能gmskills	降神		测试技能1，在gmskills文件夹
1011	测试技能gmskills	具现		测试技能2，在gmskills文件夹
1012	测试技能gmskills	寻真		测试技能3，在gmskills文件夹
